#Release 12.4 - par M.81d (lin64)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Wed Nov 18 09:43:39 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system.ncd
#OUTPUT FILE:      system-routed_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P33,,DIFFS,IO_L03N_2/D6/GCLK13,UNUSED,,2,,,,,,,,,
P34,mmd<13>,IOB,IO/D5,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P35,mmd<14>,IOB,IO_L04P_2/D4/GCLK14,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P36,mmd<15>,IOB,IO_L04N_2/D3/GCLK15,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P37,,,GND,,,,,,,,,,,,
P38,clk,IBUF,IP_L05P_2/RDWR_B/GCLK0,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P39,,DIFFSI,IP_L05N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
P40,mmd<16>,IOB,IO_L06P_2/D2/GCLK2,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P41,mmd<17>,IOB,IO_L06N_2/D1/GCLK3,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P42,,IOB,IO/M1,UNUSED,,2,,,,,,,,,
P43,,DIFFM,IO_L07P_2/M0,UNUSED,,2,,,,,,,,,
P44,mmd<18>,IOB,IO_L07N_2/DIN/D0,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P45,,,VCCO_2,,,2,,,,,3.30,,,,
P46,,,VCCAUX,,,,,,,,2.5,,,,
P47,,DIFFM,IO_L08P_2/VS2,UNUSED,,2,,,,,,,,,
P48,,DIFFS,IO_L08N_2/VS1,UNUSED,,2,,,,,,,,,
P49,,DIFFM,IO_L09P_2/VS0,UNUSED,,2,,,,,,,,,
P50,,DIFFS,IO_L09N_2/CCLK,UNUSED,,2,,,,,,,,,
P51,,,DONE,,,,,,,,,,,,
P52,,,GND,,,,,,,,,,,,
P53,mmd<19>,IOB,IO_L01P_1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P54,,DIFFS,IO_L01N_1,UNUSED,,1,,,,,,,,,
P55,,,VCCO_1,,,1,,,,,3.30,,,,
P56,,,VCCINT,,,,,,,,1.2,,,,
P57,mmd<20>,IOB,IO_L02P_1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P58,mmd<21>,IOB,IO_L02N_1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P59,,,GND,,,,,,,,,,,,
P60,mmd<11>,IOB,IO_L03P_1/RHCLK0,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P61,,DIFFS,IO_L03N_1/RHCLK1,UNUSED,,1,,,,,,,,,
P62,,DIFFM,IO_L04P_1/RHCLK2,UNUSED,,1,,,,,,,,,
P63,,DIFFS,IO_L04N_1/RHCLK3/TRDY1,UNUSED,,1,,,,,,,,,
P64,,,GND,,,,,,,,,,,,
P65,,DIFFM,IO_L05P_1/RHCLK4/IRDY1,UNUSED,,1,,,,,,,,,
P66,data<0>,IOB,IO_L05N_1/RHCLK5,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P67,data<1>,IOB,IO_L06P_1/RHCLK6,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P68,data<2>,IOB,IO_L06N_1/RHCLK7,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P69,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
P70,data<3>,IOB,IO_L07P_1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P71,data<4>,IOB,IO_L07N_1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P72,,,GND,,,,,,,,,,,,
P73,,,VCCO_1,,,1,,,,,3.30,,,,
P74,,,VCCAUX,,,,,,,,2.5,,,,
P75,,,TMS,,,,,,,,,,,,
P76,,,TDO,,,,,,,,,,,,
P77,,,TCK,,,,,,,,,,,,
P78,data<5>,IOB,IO_L01P_0,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P79,data<6>,IOB,IO_L01N_0,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P80,,,VCCINT,,,,,,,,1.2,,,,
P81,,,GND,,,,,,,,,,,,
P82,,,VCCO_0,,,0,,,,,3.30,,,,
P83,data<7>,IOB,IO_L02P_0/GCLK4,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P84,psr<0>,IOB,IO_L02N_0/GCLK5,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P85,psr<1>,IOB,IO_L03P_0/GCLK6,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P86,psr<2>,IOB,IO_L03N_0/GCLK7,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P87,,,GND,,,,,,,,,,,,
P88,,DIFFMI,IP_L04P_0/GCLK8,UNUSED,,0,,,,,,,,,
P89,,DIFFSI,IP_L04N_0/GCLK9,UNUSED,,0,,,,,,,,,
P90,address<1>,IOB,IO_L05P_0/GCLK10,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P91,address<2>,IOB,IO_L05N_0/GCLK11,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P92,address<3>,IOB,IO,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P93,,,GND,,,,,,,,,,,,
P94,address<4>,IOB,IO_L06P_0,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P95,address<5>,IOB,IO_L06N_0/VREF_0,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P96,,,VCCAUX,,,,,,,,2.5,,,,
P97,,,VCCO_0,,,0,,,,,3.30,,,,
P98,address<6>,IOB,IO_L07P_0,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P99,,DIFFS,IO_L07N_0/HSWAP,UNUSED,,0,,,,,,,,,
P100,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
