#Release 12.4 - par M.81d (lin)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Mon Oct  5 12:03:40 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system.ncd
#OUTPUT FILE:      system-routed_pad.csv
#PART TYPE:        xc3s250e
#SPEED GRADE:      -4
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P25,,DIFFS,IO_L01N_2/INIT_B,UNUSED,,2,,,,,,,,,
P26,,DIFFM,IO_L02P_2/DOUT/BUSY,UNUSED,,2,,,,,,,,,
P27,,DIFFS,IO_L02N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,,,GND,,,,,,,,,,,,
P30,,DIFFSI,IP/VREF_2,UNUSED,,2,,,,,,,,,
P31,,,VCCO_2,,,2,,,,,3.30,,,,
P32,,DIFFM,IO_L03P_2/D7/GCLK12,UNUSED,,2,,,,,,,,,
P33,,DIFFS,IO_L03N_2/D6/GCLK13,UNUSED,,2,,,,,,,,,
P34,,IOB,IO/D5,UNUSED,,2,,,,,,,,,
P35,rx_empty,IOB,IO_L04P_2/D4/GCLK14,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P36,rx_data<0>,IOB,IO_L04N_2/D3/GCLK15,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P37,,,GND,,,,,,,,,,,,
P38,txclk,IBUF,IP_L05P_2/RDWR_B/GCLK0,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P39,,DIFFSI,IP_L05N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
P40,rx_data<1>,IOB,IO_L06P_2/D2/GCLK2,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P41,rx_data<2>,IOB,IO_L06N_2/D1/GCLK3,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P42,,IOB,IO/M1,UNUSED,,2,,,,,,,,,
P43,,DIFFM,IO_L07P_2/M0,UNUSED,,2,,,,,,,,,
P44,rx_data<3>,IOB,IO_L07N_2/DIN/D0,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P45,,,VCCO_2,,,2,,,,,3.30,,,,
P46,,,VCCAUX,,,,,,,,2.5,,,,
P47,,DIFFM,IO_L08P_2/VS2,UNUSED,,2,,,,,,,,,
P48,,DIFFS,IO_L08N_2/VS1,UNUSED,,2,,,,,,,,,
P49,,DIFFM,IO_L09P_2/VS0,UNUSED,,2,,,,,,,,,
P50,,DIFFS,IO_L09N_2/CCLK,UNUSED,,2,,,,,,,,,
P51,,,DONE,,,,,,,,,,,,
P52,,,GND,,,,,,,,,,,,
P53,rx_data<4>,IOB,IO_L01P_1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P54,tx_out,IOB,IO_L01N_1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P55,,,VCCO_1,,,1,,,,,3.30,,,,
P56,,,VCCINT,,,,,,,,1.2,,,,
P57,rx_data<5>,IOB,IO_L02P_1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P58,rx_data<6>,IOB,IO_L02N_1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P59,,,GND,,,,,,,,,,,,
P60,rx_data<7>,IOB,IO_L03P_1/RHCLK0,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P61,,DIFFS,IO_L03N_1/RHCLK1,UNUSED,,1,,,,,,,,,
P62,,DIFFM,IO_L04P_1/RHCLK2,UNUSED,,1,,,,,,,,,
P63,,DIFFS,IO_L04N_1/RHCLK3/TRDY1,UNUSED,,1,,,,,,,,,
P64,,,GND,,,,,,,,,,,,
P65,,DIFFM,IO_L05P_1/RHCLK4/IRDY1,UNUSED,,1,,,,,,,,,
P66,tx_data<3>,IBUF,IO_L05N_1/RHCLK5,INPUT,LVTTL,1,,,,IFD,,LOCATED,YES,NONE,
P67,tx_data<4>,IBUF,IO_L06P_1/RHCLK6,INPUT,LVTTL,1,,,,IFD,,LOCATED,YES,NONE,
P68,tx_data<5>,IBUF,IO_L06N_1/RHCLK7,INPUT,LVTTL,1,,,,IFD,,LOCATED,YES,NONE,
P69,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
P70,tx_data<6>,IBUF,IO_L07P_1,INPUT,LVTTL,1,,,,IFD,,LOCATED,YES,NONE,
P71,tx_data<7>,IBUF,IO_L07N_1,INPUT,LVTTL,1,,,,IFD,,LOCATED,YES,NONE,
P72,,,GND,,,,,,,,,,,,
P73,,,VCCO_1,,,1,,,,,3.30,,,,
P74,,,VCCAUX,,,,,,,,2.5,,,,
P75,,,TMS,,,,,,,,,,,,
P76,,,TDO,,,,,,,,,,,,
P77,,,TCK,,,,,,,,,,,,
P78,tx_enable,IBUF,IO_L01P_0,INPUT,LVTTL,0,,,,NONE,,LOCATED,NO,NONE,
P79,,DIFFS,IO_L01N_0,UNUSED,,0,,,,,,,,,
P80,,,VCCINT,,,,,,,,1.2,,,,
P81,,,GND,,,,,,,,,,,,
P82,,,VCCO_0,,,0,,,,,3.30,,,,
P83,,DIFFM,IO_L02P_0/GCLK4,UNUSED,,0,,,,,,,,,
P84,uld_rx_data,IBUF,IO_L02N_0/GCLK5,INPUT,LVTTL,0,,,,NONE,,LOCATED,NO,NONE,
P85,rx_enable,IBUF,IO_L03P_0/GCLK6,INPUT,LVTTL,0,,,,NONE,,LOCATED,NO,NONE,
P86,rx_in,IBUF,IO_L03N_0/GCLK7,INPUT,LVTTL,0,,,,IFD,,LOCATED,YES,NONE,
P87,,,GND,,,,,,,,,,,,
P88,,DIFFMI,IP_L04P_0/GCLK8,UNUSED,,0,,,,,,,,,
P89,,DIFFSI,IP_L04N_0/GCLK9,UNUSED,,0,,,,,,,,,
P90,,DIFFM,IO_L05P_0/GCLK10,UNUSED,,0,,,,,,,,,
P91,,DIFFS,IO_L05N_0/GCLK11,UNUSED,,0,,,,,,,,,
P92,,IOB,IO,UNUSED,,0,,,,,,,,,
P93,,,GND,,,,,,,,,,,,
P94,,DIFFM,IO_L06P_0,UNUSED,,0,,,,,,,,,
P95,,DIFFS,IO_L06N_0/VREF_0,UNUSED,,0,,,,,,,,,
P96,,,VCCAUX,,,,,,,,2.5,,,,
P97,,,VCCO_0,,,0,,,,,3.30,,,,
P98,,DIFFM,IO_L07P_0,UNUSED,,0,,,,,,,,,
P99,,DIFFS,IO_L07N_0/HSWAP,UNUSED,,0,,,,,,,,,
P100,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
